axis,config,cv,log_range,max,mean,min,n,nonlinearity,observes,range,std,steps
A1_reactive,obs_0,0.0,0.0,1577.8,1577.8,1577.8,100000,quadratic,0,0.0,0.0,6
A1_reactive,obs_1,0.058488,5.950643,2444.8,2317.1694,2060.8,100000,quadratic,1,384.0,135.5255,6
A1_reactive,obs_2,0.079035,6.854355,3491.8,3175.2881,2543.8,100000,quadratic,2,948.0,250.9598,6
A1_reactive,obs_3,0.092553,7.433667,4718.8,4157.2741,3026.8,100000,quadratic,3,1692.0,384.7695,6
A1_reactive,obs_4,0.102311,7.869402,6125.8,5255.7398,3509.8,100000,quadratic,4,2616.0,537.7217,6
A1_reactive,obs_5,0.11079,8.221479,7712.8,6473.7062,3992.8,100000,quadratic,5,3720.0,717.2206,6
