package,version,wheel_filename,sha256,pypi_files_url,pip_command
humanize,4.15.0,humanize-4.15.0-py3-none-any.whl,b1186eb9f5a9749cd9cb8565aee77919dd7c8d076161cf44d70e59e3301e1769,https://pypi.org/project/humanize/4.15.0/#files,pip download humanize==4.15.0 --no-deps
importlib_metadata,9.0.0,importlib_metadata-9.0.0-py3-none-any.whl,2d21d1cc5a017bd0559e36150c21c830ab1dc304dedd1b7ea85d20f45ef3edd7,https://pypi.org/project/importlib-metadata/9.0.0/#files,pip download importlib-metadata==9.0.0 --no-deps
iniconfig,2.3.0,iniconfig-2.3.0-py3-none-any.whl,f631c04d2c48c52b84d0d0549c99ff3859c98df65b3101406327ecc7d53fbf12,https://pypi.org/project/iniconfig/2.3.0/#files,pip download iniconfig==2.3.0 --no-deps
itsdangerous,2.2.0,itsdangerous-2.2.0-py3-none-any.whl,c6242fc49e35958c8b15141343aa660db5fc54d4f13a1db01a3f5891b98700ef,https://pypi.org/project/itsdangerous/2.2.0/#files,pip download itsdangerous==2.2.0 --no-deps
jinja2,3.1.6,jinja2-3.1.6-py3-none-any.whl,85ece4451f492d0c13c5dd7c13a64681a86afae63a5f347908daf103ce6d2f67,https://pypi.org/project/jinja2/3.1.6/#files,pip download jinja2==3.1.6 --no-deps
jsonpatch,1.33,jsonpatch-1.33-py2.py3-none-any.whl,0ae28c0cd062bbd8b8ecc26d7d164fbbea9652a1a3693f3b956c1eae5145dade,https://pypi.org/project/jsonpatch/1.33/#files,pip download jsonpatch==1.33 --no-deps
jsonpointer,3.1.1,jsonpointer-3.1.1-py3-none-any.whl,8ff8b95779d071ba472cf5bc913028df06031797532f08a7d5b602d8b2a488ca,https://pypi.org/project/jsonpointer/3.1.1/#files,pip download jsonpointer==3.1.1 --no-deps
jsonschema,4.26.0,jsonschema-4.26.0-py3-none-any.whl,d489f15263b8d200f8387e64b4c3a75f06629559fb73deb8fdfb525f2dab50ce,https://pypi.org/project/jsonschema/4.26.0/#files,pip download jsonschema==4.26.0 --no-deps
loguru,0.7.3,loguru-0.7.3-py3-none-any.whl,31a33c10c8e1e10422bfd431aeb5d351c7cf7fa671e3c4df004162264b28220c,https://pypi.org/project/loguru/0.7.3/#files,pip download loguru==0.7.3 --no-deps
markdown,3.10.2,markdown-3.10.2-py3-none-any.whl,e91464b71ae3ee7afd3017d9f358ef0baf158fd9a298db92f1d4761133824c36,https://pypi.org/project/markdown/3.10.2/#files,pip download markdown==3.10.2 --no-deps
markupsafe,3.0.3,markupsafe-3.0.3-cp312-cp312-win_amd64.whl,26a5784ded40c9e318cfc2bdb30fe164bdb8665ded9cd64d500a34fb42067b1c,https://pypi.org/project/markupsafe/3.0.3/#files,pip download markupsafe==3.0.3 --no-deps
marshmallow,4.3.0,marshmallow-4.3.0-py3-none-any.whl,46c4fe6984707e3cbd485dfebbf0a59874f58d695aad05c1668d15e8c6e13b46,https://pypi.org/project/marshmallow/4.3.0/#files,pip download marshmallow==4.3.0 --no-deps
mccabe,0.7.0,mccabe-0.7.0-py2.py3-none-any.whl,6c2d30ab6be0e4a46919781807b4f0d834ebdd6c6e3dca0bda5a15f863427b6e,https://pypi.org/project/mccabe/0.7.0/#files,pip download mccabe==0.7.0 --no-deps
mistune,3.2.1,mistune-3.2.1-py3-none-any.whl,78cdb0ba5e938053ccf63651b352508d2efa9411dc8810bfb05f2dc5140c0048,https://pypi.org/project/mistune/3.2.1/#files,pip download mistune==3.2.1 --no-deps
more_itertools,11.0.2,more_itertools-11.0.2-py3-none-any.whl,6e35b35f818b01f691643c6c611bc0902f2e92b46c18fffa77ae1e7c46e912e4,https://pypi.org/project/more-itertools/11.0.2/#files,pip download more-itertools==11.0.2 --no-deps
multidict,6.7.1,multidict-6.7.1-cp312-cp312-win_amd64.whl,fcee94dfbd638784645b066074b338bc9cc155d4b4bffa4adce1615c5a426c19,https://pypi.org/project/multidict/6.7.1/#files,pip download multidict==6.7.1 --no-deps
mypy_extensions,1.1.0,mypy_extensions-1.1.0-py3-none-any.whl,1be4cccdb0f2482337c4743e60421de3a356cd97508abadd57d47403e94f5505,https://pypi.org/project/mypy-extensions/1.1.0/#files,pip download mypy-extensions==1.1.0 --no-deps
packaging,26.2,packaging-26.2-py3-none-any.whl,5fc45236b9446107ff2415ce77c807cee2862cb6fac22b8a73826d0693b0980e,https://pypi.org/project/packaging/26.2/#files,pip download packaging==26.2 --no-deps
parsedatetime,2.6,parsedatetime-2.6-py3-none-any.whl,cb96edd7016872f58479e35879294258c71437195760746faffedb692aef000b,https://pypi.org/project/parsedatetime/2.6/#files,pip download parsedatetime==2.6 --no-deps
pathspec,1.1.1,pathspec-1.1.1-py3-none-any.whl,a00ce642f577bf7f473932318056212bc4f8bfdf53128c78bbd5af0b9b20b189,https://pypi.org/project/pathspec/1.1.1/#files,pip download pathspec==1.1.1 --no-deps
pendulum,3.2.0,pendulum-3.2.0-cp312-cp312-win_amd64.whl,fd55c12560816d9122ca2142d9e428f32c0c083bf77719320b1767539c7a3a3b,https://pypi.org/project/pendulum/3.2.0/#files,pip download pendulum==3.2.0 --no-deps
platformdirs,4.9.6,platformdirs-4.9.6-py3-none-any.whl,e61adb1d5e5cb3441b4b7710bea7e4c12250ca49439228cc1021c00dcfac0917,https://pypi.org/project/platformdirs/4.9.6/#files,pip download platformdirs==4.9.6 --no-deps
pluggy,1.6.0,pluggy-1.6.0-py3-none-any.whl,e920276dd6813095e9377c0bc5566d94c932c33b27a3e3945d8389c374dd4746,https://pypi.org/project/pluggy/1.6.0/#files,pip download pluggy==1.6.0 --no-deps
pycodestyle,2.14.0,pycodestyle-2.14.0-py2.py3-none-any.whl,dd6bf7cb4ee77f8e016f9c8e74a35ddd9f67e1d5fd4184d86c3b98e07099f42d,https://pypi.org/project/pycodestyle/2.14.0/#files,pip download pycodestyle==2.14.0 --no-deps
pydocstyle,6.3.0,pydocstyle-6.3.0-py3-none-any.whl,118762d452a49d6b05e194ef344a55822987a462831ade91ec5c06fd2169d019,https://pypi.org/project/pydocstyle/6.3.0/#files,pip download pydocstyle==6.3.0 --no-deps
pyflakes,3.4.0,pyflakes-3.4.0-py2.py3-none-any.whl,f742a7dbd0d9cb9ea41e9a24a918996e8170c799fa528688d40dd582c8265f4f,https://pypi.org/project/pyflakes/3.4.0/#files,pip download pyflakes==3.4.0 --no-deps
pygments,2.20.0,pygments-2.20.0-py3-none-any.whl,81a9e26dd42fd28a23a2d169d86d7ac03b46e2f8b59ed4698fb4785f946d0176,https://pypi.org/project/pygments/2.20.0/#files,pip download pygments==2.20.0 --no-deps
pyparsing,3.3.2,pyparsing-3.3.2-py3-none-any.whl,850ba148bd908d7e2411587e247a1e4f0327839c40e2e5e6d05a007ecc69911d,https://pypi.org/project/pyparsing/3.3.2/#files,pip download pyparsing==3.3.2 --no-deps
python_dotenv,1.2.2,python_dotenv-1.2.2-py3-none-any.whl,1d8214789a24de455a8b8bd8ae6fe3c6b69a5e3d64aa8a8e5d68e694bbcb285a,https://pypi.org/project/python-dotenv/1.2.2/#files,pip download python-dotenv==1.2.2 --no-deps
requests,2.34.2,requests-2.34.2-py3-none-any.whl,2a0d60c172f83ac6ab31e4554906c0f3b3588d37b5cb939b1c061f4907e278e0,https://pypi.org/project/requests/2.34.2/#files,pip download requests==2.34.2 --no-deps
sniffio,1.3.1,sniffio-1.3.1-py3-none-any.whl,2f6da418d1f1e0fddd844478f41680e794e6051915791a034ff65e5f100525a2,https://pypi.org/project/sniffio/1.3.1/#files,pip download sniffio==1.3.1 --no-deps
sortedcontainers,2.4.0,sortedcontainers-2.4.0-py2.py3-none-any.whl,a163dcaede0f1c021485e957a39245190e74249897e2ae4b2aa38595db237ee0,https://pypi.org/project/sortedcontainers/2.4.0/#files,pip download sortedcontainers==2.4.0 --no-deps
soupsieve,2.8.3,soupsieve-2.8.3-py3-none-any.whl,ed64f2ba4eebeab06cc4962affce381647455978ffc1e36bb79a545b91f45a95,https://pypi.org/project/soupsieve/2.8.3/#files,pip download soupsieve==2.8.3 --no-deps
structlog,25.5.0,structlog-25.5.0-py3-none-any.whl,a8453e9b9e636ec59bd9e79bbd4a72f025981b3ba0f5837aebf48f02f37a7f9f,https://pypi.org/project/structlog/25.5.0/#files,pip download structlog==25.5.0 --no-deps
tenacity,9.1.4,tenacity-9.1.4-py3-none-any.whl,6095a360c919085f28c6527de529e76a06ad89b23659fa881ae0649b867a9d55,https://pypi.org/project/tenacity/9.1.4/#files,pip download tenacity==9.1.4 --no-deps
