body_length,observation_count,cap_degree,unique_permutations,budget,seed,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,true_exhaustive_range,true_exhaustive_exact_range,absolute_error,exact_absolute_error,relative_error,sampled_extrema_matched_exact_extrema,exact_rational_arithmetic_used
6,4,3,210,8,43,8,244759.5,303501.78,58742.28,489519/2,15175089/50,1468557/25,130538.4,652692/5,71796.12,1794903/25,0.55,False,True
6,4,3,210,8,71,8,233881.3,299150.5,65269.2,2338813/10,598301/2,326346/5,130538.4,652692/5,65269.2,326346/5,0.5,False,True
6,4,3,210,8,101,8,240408.22,299150.5,58742.28,12020411/50,598301/2,1468557/25,130538.4,652692/5,71796.12,1794903/25,0.55,False,True
6,4,3,210,16,17,16,186017.22,299150.5,113133.28,9300861/50,598301/2,2828332/25,130538.4,652692/5,17405.12,435128/25,0.133333333333,False,True
6,4,3,210,16,29,16,196895.42,303501.78,106606.36,9844771/50,15175089/50,2665159/25,130538.4,652692/5,23932.04,598301/25,0.183333333333,False,True
6,4,3,210,16,43,16,238232.58,303501.78,65269.2,11911629/50,15175089/50,326346/5,130538.4,652692/5,65269.2,326346/5,0.5,False,True
6,4,3,210,16,71,16,227354.38,299150.5,71796.12,11367719/50,598301/2,1794903/25,130538.4,652692/5,58742.28,1468557/25,0.45,False,True
6,4,3,210,16,101,16,218651.82,305677.42,87025.6,10932591/50,15283871/50,435128/5,130538.4,652692/5,43512.8,217564/5,0.333333333333,False,True
6,4,3,210,32,17,32,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,32,29,32,196895.42,303501.78,106606.36,9844771/50,15175089/50,2665159/25,130538.4,652692/5,23932.04,598301/25,0.183333333333,False,True
6,4,3,210,32,43,32,186017.22,305677.42,119660.2,9300861/50,15283871/50,598301/5,130538.4,652692/5,10878.2,54391/5,0.083333333333,False,True
6,4,3,210,32,71,32,201246.7,303501.78,102255.08,2012467/10,15175089/50,2556377/25,130538.4,652692/5,28283.32,707083/25,0.216666666667,False,True
6,4,3,210,32,101,32,218651.82,305677.42,87025.6,10932591/50,15283871/50,435128/5,130538.4,652692/5,43512.8,217564/5,0.333333333333,False,True
6,4,3,210,64,17,64,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,64,29,64,196895.42,305677.42,108782.0,9844771/50,15283871/50,108782,130538.4,652692/5,21756.4,108782/5,0.166666666667,False,True
6,4,3,210,64,43,64,186017.22,305677.42,119660.2,9300861/50,15283871/50,598301/5,130538.4,652692/5,10878.2,54391/5,0.083333333333,False,True
6,4,3,210,64,71,64,186017.22,305677.42,119660.2,9300861/50,15283871/50,598301/5,130538.4,652692/5,10878.2,54391/5,0.083333333333,False,True
6,4,3,210,64,101,64,214300.54,305677.42,91376.88,10715027/50,15283871/50,2284422/25,130538.4,652692/5,39161.52,979038/25,0.3,False,True
6,4,3,210,128,17,128,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,128,29,128,186017.22,305677.42,119660.2,9300861/50,15283871/50,598301/5,130538.4,652692/5,10878.2,54391/5,0.083333333333,False,True
6,4,3,210,128,43,128,186017.22,305677.42,119660.2,9300861/50,15283871/50,598301/5,130538.4,652692/5,10878.2,54391/5,0.083333333333,False,True
6,4,3,210,128,71,128,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,128,101,128,186017.22,305677.42,119660.2,9300861/50,15283871/50,598301/5,130538.4,652692/5,10878.2,54391/5,0.083333333333,False,True
6,4,3,210,256,17,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,256,29,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,256,43,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,256,71,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,256,101,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,512,17,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,512,29,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,512,43,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,512,71,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,512,101,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,1024,17,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,1024,29,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,1024,43,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,1024,71,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
6,4,3,210,1024,101,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,130538.4,652692/5,0.0,0,0.0,True,True
8,4,4,495,8,17,8,40855483.2,55802611.2,14947128.0,204277416/5,279013056/5,14947128,27901305.6,139506528/5,12954177.6,64770888/5,0.464285714286,False,True
8,4,4,495,8,29,8,42848433.6,56300848.8,13452415.2,214242168/5,281504244/5,67262076/5,27901305.6,139506528/5,14448890.4,72244452/5,0.517857142857,False,True
8,4,4,495,8,43,8,44343146.4,57297324.0,12954177.6,221715732/5,57297324,64770888/5,27901305.6,139506528/5,14947128.0,14947128,0.535714285714,False,True
8,4,4,495,8,71,8,44592265.2,58044680.4,13452415.2,222961326/5,290223402/5,67262076/5,27901305.6,139506528/5,14448890.4,72244452/5,0.517857142857,False,True
