body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
3,2,2,10,True,True,666.65,786.05,119.4,13333/20,15721/20,597/5,10,666.65,786.05,119.4,13333/20,15721/20,597/5,False
3,2,3,10,True,True,15732.94,18550.78,2817.84,786647/50,927539/50,70446/25,10,15732.94,18550.78,2817.84,786647/50,927539/50,70446/25,False
3,2,4,10,True,True,432655.85,510146.45,77490.6,8653117/20,10202929/20,387453/5,10,432655.85,510146.45,77490.6,8653117/20,10202929/20,387453/5,False
3,2,5,10,True,True,13671924.86,16120627.82,2448702.96,683596243/50,806031391/50,61217574/25,10,13671924.86,16120627.82,2448702.96,683596243/50,806031391/50,61217574/25,False
3,3,1,20,True,True,33.5,42.5,9.0,67/2,85/2,9,20,33.5,42.5,9.0,67/2,85/2,9,False
3,3,2,20,True,True,767.15,973.25,206.1,15343/20,3893/4,2061/10,20,767.15,973.25,206.1,15343/20,3893/4,2061/10,False
3,3,3,20,True,True,21173.34,26861.7,5688.36,1058667/50,268617/10,142209/25,20,21173.34,26861.7,5688.36,1058667/50,268617/10,142209/25,False
3,3,4,20,True,True,688133.55,873005.25,184871.7,13762671/20,3492021/4,1848717/10,20,688133.55,873005.25,184871.7,13762671/20,3492021/4,1848717/10,False
3,3,5,20,True,True,25873821.48,32824997.4,6951175.92,646845537/25,164124987/5,173779398/25,20,25873821.48,32824997.4,6951175.92,646845537/25,164124987/5,173779398/25,False
3,4,1,35,True,True,33.5,45.5,12.0,67/2,91/2,12,35,33.5,45.5,12.0,67/2,91/2,12,False
3,4,2,35,True,True,867.65,1178.45,310.8,17353/20,23569/20,1554/5,35,867.65,1178.45,310.8,17353/20,23569/20,1554/5,False
3,4,3,35,True,True,27417.74,37239.02,9821.28,1370887/50,1861951/50,245532/25,35,27417.74,37239.02,9821.28,1370887/50,1861951/50,245532/25,False
3,4,4,35,True,True,1028165.25,1396463.25,368298.0,4112661/4,5585853/4,368298,35,1028165.25,1396463.25,368298.0,4112661/4,5585853/4,368298,False
3,4,5,35,True,True,44828004.9,60885797.7,16057792.8,448280049/10,608857977/10,80288964/5,35,44828004.9,60885797.7,16057792.8,448280049/10,608857977/10,80288964/5,False
3,5,1,56,True,True,33.5,48.5,15.0,67/2,97/2,15,56,33.5,48.5,15.0,67/2,97/2,15,False
3,5,2,56,True,True,968.15,1401.65,433.5,19363/20,28033/20,867/2,56,968.15,1401.65,433.5,19363/20,28033/20,867/2,False
3,5,3,56,True,True,34466.14,49898.74,15432.6,1723307/50,2494937/50,77163/5,56,34466.14,49898.74,15432.6,1723307/50,2494937/50,77163/5,False
3,5,4,56,True,True,1464810.95,2120696.45,655885.5,29296219/20,42413929/20,1311771/2,56,1464810.95,2120696.45,655885.5,29296219/20,42413929/20,1311771/2,False
3,5,5,56,True,True,72654623.12,105186543.92,32531920.8,1816365578/25,2629663598/25,162659604/5,56,72654623.12,105186543.92,32531920.8,1816365578/25,2629663598/25,162659604/5,False
4,0,1,1,True,True,47.4,47.4,0.0,237/5,237/5,0,1,47.4,47.4,0.0,237/5,237/5,0,False
4,0,2,1,True,True,739.44,739.44,0.0,18486/25,18486/25,0,1,739.44,739.44,0.0,18486/25,18486/25,0,False
4,0,3,1,True,True,12940.2,12940.2,0.0,64701/5,64701/5,0,1,12940.2,12940.2,0.0,64701/5,64701/5,0,False
4,0,4,1,True,True,253627.92,253627.92,0.0,6340698/25,6340698/25,0,1,253627.92,253627.92,0.0,6340698/25,6340698/25,0,False
4,0,5,1,True,True,5554451.448,5554451.448,0.0,694306431/125,694306431/125,0,1,5554451.448,5554451.448,0.0,694306431/125,694306431/125,0,False
4,1,1,5,True,True,47.4,53.4,6.0,237/5,267/5,6,5,47.4,53.4,6.0,237/5,267/5,6,False
4,1,2,5,True,True,929.04,1046.64,117.6,23226/25,26166/25,588/5,5,929.04,1046.64,117.6,23226/25,26166/25,588/5,False
4,1,3,5,True,True,20903.4,23549.4,2646.0,104517/5,117747/5,2646,5,20903.4,23549.4,2646.0,104517/5,117747/5,2646,False
4,1,4,5,True,True,535127.04,602864.64,67737.6,13378176/25,15071616/25,338688/5,5,535127.04,602864.64,67737.6,13378176/25,15071616/25,338688/5,False
4,1,5,5,True,True,15465171.456,17422788.096,1957616.64,1933146432/125,2177848512/125,48940416/25,5,15465171.456,17422788.096,1957616.64,1933146432/125,2177848512/125,48940416/25,False
4,2,1,15,True,True,47.4,59.4,12.0,237/5,297/5,12,15,47.4,59.4,12.0,237/5,297/5,12,False
4,2,2,15,True,True,1118.64,1401.84,283.2,27966/25,35046/25,1416/5,15,1118.64,1401.84,283.2,27966/25,35046/25,1416/5,False
