body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
7,4,1,330,True,True,100.1,184.1,84.0,1001/10,1841/10,84,330,100.1,184.1,84.0,1001/10,1841/10,84,False
7,4,2,330,True,True,4994.99,9186.59,4191.6,499499/100,918659/100,20958/5,330,4994.99,9186.59,4191.6,499499/100,918659/100,20958/5,False
7,4,3,330,True,True,281717.436,518123.676,236406.24,70429359/250,129530919/250,5910156/25,330,281717.436,518123.676,236406.24,70429359/250,129530919/250,5910156/25,False
7,4,4,330,True,True,17776370.2116,32693603.9556,14917233.744,44440925529/2500,81734009889/2500,1864654218/125,330,17776370.2116,32693603.9556,14917233.744,44440925529/2500,81734009889/2500,1864654218/125,False
7,4,5,330,True,True,1244345914.812,2288552276.892,1044206362.08,311086478703/250,572138069223/250,26105159052/25,330,1244345914.812,2288552276.892,1044206362.08,311086478703/250,572138069223/250,26105159052/25,False
7,5,1,792,True,True,100.1,205.1,105.0,1001/10,2051/10,105,512,100.1,205.1,105.0,1001/10,2051/10,105,False
7,5,2,792,True,True,5695.69,11670.19,5974.5,569569/100,1167019/100,11949/2,512,5695.69,11670.19,5974.5,569569/100,1167019/100,11949/2,False
7,5,3,792,True,True,366802.436,751560.236,384757.8,91700609/250,187890059/250,1923789/5,512,366802.436,751560.236,384757.8,91700609/250,187890059/250,1923789/5,False
7,5,4,792,True,True,26446455.6356,54187493.0156,27741037.38,66116139089/2500,135468732539/2500,1387051869/50,512,26446455.6356,54187493.0156,27741037.38,66116139089/2500,135468732539/2500,1387051869/50,False
7,5,5,792,True,True,2115716450.848,4334999441.248,2219282990.4,264464556356/125,541874930156/125,11096414952/5,512,2115716450.848,4334999441.248,2219282990.4,264464556356/125,541874930156/125,11096414952/5,False
8,0,1,1,True,True,122.0,122.0,0.0,122,122,0,1,122.0,122.0,0.0,122,122,0,False
8,0,2,1,True,True,2976.8,2976.8,0.0,14884/5,14884/5,0,1,2976.8,2976.8,0.0,14884/5,14884/5,0,False
8,0,3,1,True,True,80671.28,80671.28,0.0,2016782/25,2016782/25,0,1,80671.28,80671.28,0.0,2016782/25,2016782/25,0,False
8,0,4,1,True,True,2420138.4,2420138.4,0.0,12100692/5,12100692/5,0,1,2420138.4,2420138.4,0.0,12100692/5,12100692/5,0,False
8,0,5,1,True,True,80106581.04,80106581.04,0.0,2002664526/25,2002664526/25,0,1,80106581.04,80106581.04,0.0,2002664526/25,2002664526/25,0,False
8,1,1,9,True,True,122.0,150.0,28.0,122,150,28,9,122.0,150.0,28.0,122,150,28,False
8,1,2,9,True,True,3952.8,4860.0,907.2,19764/5,4860,4536/5,9,3952.8,4860.0,907.2,19764/5,4860,4536/5,False
8,1,3,9,True,True,142696.08,175446.0,32749.92,3567402/25,175446,818748/25,9,142696.08,175446.0,32749.92,3567402/25,175446,818748/25,False
8,1,4,9,True,True,5707843.2,7017840.0,1309996.8,28539216/5,7017840,6549984/5,9,5707843.2,7017840.0,1309996.8,28539216/5,7017840,6549984/5,False
8,1,5,9,True,True,251715885.12,309486744.0,57770858.88,6292897128/25,309486744,1444271472/25,9,251715885.12,309486744.0,57770858.88,6292897128/25,309486744,1444271472/25,False
8,2,1,45,True,True,122.0,178.0,56.0,122,178,56,45,122.0,178.0,56.0,122,178,56,False
8,2,2,45,True,True,4928.8,7191.2,2262.4,24644/5,35956/5,11312/5,45,4928.8,7191.2,2262.4,24644/5,35956/5,11312/5,False
8,2,3,45,True,True,222288.88,324323.12,102034.24,5557222/25,8108078/25,2550856/25,45,222288.88,324323.12,102034.24,5557222/25,8108078/25,2550856/25,False
8,2,4,45,True,True,11114444.0,16216156.0,5101712.0,11114444,16216156,5101712,45,11114444.0,16216156.0,5101712.0,11114444,16216156,5101712,False
8,2,5,45,True,True,612405864.4,893510195.6,281104331.2,3062029322/5,4467550978/5,1405521656/5,45,612405864.4,893510195.6,281104331.2,3062029322/5,4467550978/5,1405521656/5,False
8,3,1,165,True,True,122.0,206.0,84.0,122,206,84,165,122.0,206.0,84.0,122,206,84,False
8,3,2,165,True,True,5904.8,9970.4,4065.6,29524/5,49852/5,20328/5,165,5904.8,9970.4,4065.6,29524/5,49852/5,20328/5,False
8,3,3,165,True,True,319449.68,539398.64,219948.96,7986242/25,13484966/25,5498724/25,165,319449.68,539398.64,219948.96,7986242/25,13484966/25,5498724/25,False
8,3,4,165,True,True,19166980.8,32363918.4,13196937.6,95834904/5,161819592/5,65984688/5,165,19166980.8,32363918.4,13196937.6,95834904/5,161819592/5,65984688/5,False
8,3,5,165,True,True,1266937430.88,2139255006.24,872317575.36,31673435772/25,53481375156/25,21807939384/25,165,1266937430.88,2139255006.24,872317575.36,31673435772/25,53481375156/25,21807939384/25,False
8,4,1,495,True,True,122.0,234.0,112.0,122,234,112,495,122.0,234.0,112.0,122,234,112,False
8,4,2,495,True,True,6880.8,13197.6,6316.8,34404/5,65988/5,31584/5,495,6880.8,13197.6,6316.8,34404/5,65988/5,31584/5,False
8,4,3,495,True,True,434178.48,832768.56,398590.08,10854462/25,20819214/25,9964752/25,495,434178.48,832768.56,398590.08,10854462/25,20819214/25,9964752/25,False
8,4,4,495,True,True,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,495,30392493.6,58293799.2,27901305.6,151962468/5,291468996/5,139506528/5,False
8,4,5,495,True,True,2343261256.56,4494451918.32,2151190661.76,58581531414/25,112361297958/25,53779766544/25,495,2343261256.56,4494451918.32,2151190661.76,58581531414/25,112361297958/25,53779766544/25,False
8,5,1,1287,True,True,122.0,262.0,140.0,122,262,140,512,150.0,262.0,112.0,150,262,112,True
8,5,2,1287,True,True,7856.8,16872.8,9016.0,39284/5,84364/5,9016,512,9660.0,16872.8,7212.8,9660,84364/5,36064/5,True
8,5,3,1287,True,True,566475.28,1216528.88,650053.6,14161882/25,30413222/25,3250268/5,512,696486.0,1216528.88,520042.88,696486,30413222/25,13001072/25,True
8,5,4,1287,True,True,45318022.4,97322310.4,52004288.0,226590112/5,486611552/5,52004288,512,55718880.0,97322310.4,41603430.4,55718880,486611552/5,208017152/5,True
8,5,5,1287,True,True,3992517773.44,8574095546.24,4581577772.8,99812944336/25,214352388656/25,22907888864/5,512,4908833328.0,8574095546.24,3665262218.24,4908833328,214352388656/25,91631555456/25,True
9,0,1,1,True,True,146.4,146.4,0.0,732/5,732/5,0,1,146.4,146.4,0.0,732/5,732/5,0,False
9,0,2,1,True,True,3967.44,3967.44,0.0,99186/25,99186/25,0,1,3967.44,3967.44,0.0,99186/25,99186/25,0,False
9,0,3,1,True,True,119023.2,119023.2,0.0,595116/5,595116/5,0,1,119023.2,119023.2,0.0,595116/5,595116/5,0,False
9,0,4,1,True,True,3939667.92,3939667.92,0.0,98491698/25,98491698/25,0,1,3939667.92,3939667.92,0.0,98491698/25,98491698/25,0,False
9,0,5,1,True,True,143403912.288,143403912.288,0.0,17925489036/125,17925489036/125,0,1,143403912.288,143403912.288,0.0,17925489036/125,17925489036/125,0,False
9,1,1,10,True,True,146.4,182.4,36.0,732/5,912/5,36,10,146.4,182.4,36.0,732/5,912/5,36,False
9,1,2,10,True,True,5285.04,6584.64,1299.6,132126/25,164616/25,6498/5,10,5285.04,6584.64,1299.6,132126/25,164616/25,6498/5,False
9,1,3,10,True,True,211401.6,263385.6,51984.0,1057008/5,1316928/5,51984,10,211401.6,263385.6,51984.0,1057008/5,1316928/5,51984,False
9,1,4,10,True,True,9322810.56,11615304.96,2292494.4,233070264/25,290382624/25,11462472/5,10,9322810.56,11615304.96,2292494.4,233070264/25,290382624/25,11462472/5,False
9,1,5,10,True,True,451224031.104,562180760.064,110956728.96,56403003888/125,70272595008/125,2773918224/25,10,451224031.104,562180760.064,110956728.96,56403003888/125,70272595008/125,2773918224/25,False
9,2,1,55,True,True,146.4,218.4,72.0,732/5,1092/5,72,55,146.4,218.4,72.0,732/5,1092/5,72,False
9,2,2,55,True,True,6602.64,9849.84,3247.2,165066/25,246246/25,16236/5,55,6602.64,9849.84,3247.2,165066/25,246246/25,16236/5,False
9,2,3,55,True,True,330132.0,492492.0,162360.0,330132,492492,162360,55,330132.0,492492.0,162360.0,330132,492492,162360,False
9,2,4,55,True,True,18190273.2,27136309.2,8946036.0,90951366/5,135681546/5,8946036,55,18190273.2,27136309.2,8946036.0,90951366/5,135681546/5,8946036,False
9,2,5,55,True,True,1098692501.28,1639033075.68,540340574.4,27467312532/25,40975826892/25,2701702872/5,55,1098692501.28,1639033075.68,540340574.4,27467312532/25,40975826892/25,2701702872/5,False
9,3,1,220,True,True,146.4,254.4,108.0,732/5,1272/5,108,220,146.4,254.4,108.0,732/5,1272/5,108,False
9,3,2,220,True,True,7920.24,13763.04,5842.8,198006/25,344076/25,29214/5,220,7920.24,13763.04,5842.8,198006/25,344076/25,29214/5,False
9,3,3,220,True,True,475214.4,825782.4,350568.0,2376072/5,4128912/5,350568,220,475214.4,825782.4,350568.0,2376072/5,4128912/5,350568,False
9,3,4,220,True,True,31411671.84,54584216.64,23172544.8,785291796/25,1364605416/25,115862724/5,220,31411671.84,54584216.64,23172544.8,785291796/25,1364605416/25,115862724/5,False
9,3,5,220,True,True,2274205041.216,3951897284.736,1677692243.52,284275630152/125,493987160592/125,41942306088/25,220,2274205041.216,3951897284.736,1677692243.52,284275630152/125,493987160592/125,41942306088/25,False
9,4,1,715,True,True,146.4,290.4,144.0,732/5,1452/5,144,512,154.4,290.4,136.0,772/5,1452/5,136,True
9,4,2,715,True,True,9237.84,18324.24,9086.4,230946/25,458106/25,45432/5,512,9742.64,18324.24,8581.6,243566/25,458106/25,42908/5,True
9,4,3,715,True,True,646648.8,1282696.8,636048.0,3233244/5,6413484/5,636048,512,681984.8,1282696.8,600712.0,3409924/5,6413484/5,600712,True
9,4,4,715,True,True,49856622.48,98895923.28,49039300.8,1246415562/25,2472398082/25,245196504/5,512,52581028.08,98895923.28,46314895.2,1314525702/25,2472398082/25,231574476/5,True
9,4,5,715,True,True,4207898937.312,8346815924.832,4138916987.52,525987367164/125,1043351990604/125,103472924688/25,512,4437838769.952,8346815924.832,3908977154.88,554729846244/125,1043351990604/125,97724428872/25,True
9,5,1,2002,True,True,146.4,326.4,180.0,732/5,1632/5,180,512,162.4,326.4,164.0,812/5,1632/5,164,True
9,5,2,2002,True,True,10555.44,23533.44,12978.0,263886/25,588336/25,12978,512,11709.04,23533.44,11824.4,292726/25,588336/25,59122/5,True
9,5,3,2002,True,True,844435.2,1882675.2,1038240.0,4222176/5,9413376/5,1038240,512,936723.2,1882675.2,945952.0,4683616/5,9413376/5,945952,True
9,5,4,2002,True,True,74394741.12,165863685.12,91468944.0,1859868528/25,4146592128/25,91468944,512,82525313.92,165863685.12,83338371.2,2063132848/25,4146592128/25,416691856/5,True
9,5,5,2002,True,True,7171653043.968,15989259245.568,8817606201.6,896456630496/125,1998657405696/125,44088031008/5,512,7955440261.888,15989259245.568,8033818983.68,994430032736/125,1998657405696/125,200845474592/25,True
