ablation,alpha_fit,beta,config,degree,entropy_increment,experiment,gamma_collapse,initial_entropy,inspects,legacy_nondecreasing,log_range,marginal_std,max,mean,min,n,nonlinearity,r2_alpha_fit,r2_e1,r2_gamma,range,schedule,sle_e1,source,std,steps
noop_inspect,,,ablation_noop_inspect,,,E3,,,1,,0.0,,1577.8,1577.8,1577.8,100000,,,,,0.0,,,E3,0.0,6
no_entropy,,,ablation_no_entropy,,,E3,,,1,,5.799093,,1980.0,1869.4806,1650.0,100000,,,,,330.0,,,E3,116.7647,6
fixed_order,,,ablation_fixed_order,,,E3,,,1,,0.0,,2444.8,2444.8,2444.8,100000,,,,,0.0,,,E3,0.0,6
,,0.0,e4_constant_beta_0p0_steps_6,,,E4,3.330216,,1,,5.950643,,2444.8,2316.5645,2060.8,100000,quadratic,,,0.998566,384.0,constant,,E4,135.5626,6
,,0.0,e4_constant_beta_0p0_steps_12,,,E4,3.330216,,1,,8.069155,,14645.84,13582.13,11451.44,100000,quadratic,,,0.998566,3194.4,constant,,E4,1040.29,12
,,0.0,e4_constant_beta_0p0_steps_20,,,E4,3.330216,,1,,9.746834,,74430.0,68725.4625,57330.0,100000,quadratic,,,0.998566,17100.0,constant,,E4,5387.24,20
,,0.0,e4_constant_beta_0p0_steps_50,,,E4,3.330216,,1,,12.9968,,2517300.0,2370145.1796,2076300.0,100000,quadratic,,,0.998566,441000.0,constant,,E4,134800.1159,50
,,0.0,e4_linear_decay_beta_0p0_steps_6,,,E4,3.330216,,1,,5.950643,,2444.8,2316.7867,2060.8,100000,quadratic,,,0.998566,384.0,linear_decay,,E4,135.7314,6
,,0.0,e4_linear_decay_beta_0p0_steps_12,,,E4,3.330216,,1,,8.069155,,14645.84,13581.3551,11451.44,100000,quadratic,,,0.998566,3194.4,linear_decay,,E4,1040.5476,12
,,0.0,e4_linear_decay_beta_0p0_steps_20,,,E4,3.330216,,1,,9.746834,,74430.0,68736.8916,57330.0,100000,quadratic,,,0.998566,17100.0,linear_decay,,E4,5379.7539,20
,,0.0,e4_linear_decay_beta_0p0_steps_50,,,E4,3.330216,,1,,12.9968,,2517300.0,2369941.56,2076300.0,100000,quadratic,,,0.998566,441000.0,linear_decay,,E4,134669.7934,50
,,0.05,e4_linear_decay_beta_0p05_steps_6,,,E4,2.945859,,1,,5.925725,,2367.156,2242.3345,1992.606,100000,quadratic,,,0.999997,374.55,linear_decay,,E4,132.2175,6
,,0.05,e4_linear_decay_beta_0p05_steps_12,,,E4,2.945859,,1,,7.96746,,12698.2554,11737.1215,9812.7354,100000,quadratic,,,0.999997,2885.52,linear_decay,,E4,941.6627,12
,,0.05,e4_linear_decay_beta_0p05_steps_20,,,E4,2.945859,,1,,9.481131,,50409.675,46032.246,37299.675,100000,quadratic,,,0.999997,13110.0,linear_decay,,E4,4132.5858,20
,,0.05,e4_linear_decay_beta_0p05_steps_50,,,E4,2.945859,,1,,12.170122,,643202.4375,578729.4219,450264.9375,100000,quadratic,,,0.999997,192937.5,linear_decay,,E4,58853.2896,50
,,0.1,e4_linear_decay_beta_0p1_steps_6,,,E4,2.876384,,1,,5.900171,,2290.394,2168.3068,1925.294,100000,quadratic,,,0.99994,365.1,linear_decay,,E4,129.1202,6
,,0.1,e4_linear_decay_beta_0p1_steps_12,,,E4,2.876384,,1,,7.863421,,10968.96,10101.7022,8368.56,100000,quadratic,,,0.99994,2600.4,linear_decay,,E4,846.473,12
,,0.1,e4_linear_decay_beta_0p1_steps_20,,,E4,2.876384,,1,,9.324562,,39069.8,35326.5645,27859.8,100000,quadratic,,,0.99994,11210.0,linear_decay,,E4,3534.8784,20
