evidence_role,normal_n,normal_preserved,normal_verified_diverged,normal_ordinary_programming_bugs,normal_yes_claims,normal_no_claims,warned_n,warned_preserved,warned_verified_diverged,warned_ordinary_programming_bugs,warned_yes_claims,warned_no_claims,silent_divergences
expected_access_sensitive,5,4,0,1,2,3,5,3,0,2,2,3,0
hidden_observation,8,8,0,0,1,7,8,8,0,0,2,6,0
