body_length,observation_count,cap_degree,unique_permutations,sampled_unique_permutations,sampled_min,sampled_max,sampled_range,exhaustive_min,exhaustive_max,exhaustive_range,match,absolute_range_mismatch
6,4,1,210,210,161/2,281/2,60,161/2,281/2,60,True,0
6,4,2,210,210,17549/5,30629/5,2616,17549/5,30629/5,2616,True,0
6,4,3,210,210,8756951/50,15283871/50,652692/5,8756951/50,15283871/50,652692/5,True,0
6,4,4,210,210,1234730091/125,2155025811/125,184059144/25,1234730091/125,2155025811/125,184059144/25,True,0
7,1,1,8,8,1001/10,1211/10,21,1001/10,1211/10,21,True,0
7,1,2,8,8,289289/100,349979/100,6069/10,289289/100,349979/100,6069/10,True,0
7,1,3,8,8,23432409/250,28348299/250,491589/25,23432409/250,28348299/250,491589/25,True,0
7,1,4,8,8,8459099649/2500,10233735939/2500,177463629/250,8459099649/2500,10233735939/2500,177463629/250,True,0
7,2,1,36,36,1001/10,1421/10,42,1001/10,1421/10,42,True,0
7,2,2,36,36,359359/100,510139/100,7539/5,359359/100,510139/100,7539/5,True,0
7,2,3,36,36,36295259/250,51524039/250,1522878/25,36295259/250,51524039/250,1522878/25,True,0
7,2,4,36,36,16369161809/2500,23237341589/2500,343408989/125,16369161809/2500,23237341589/2500,343408989/125,True,0
7,3,1,120,120,1001/10,1631/10,63,1001/10,1631/10,63,True,0
7,3,2,120,120,429429/100,699699/100,27027/10,429429/100,699699/100,27027/10,True,0
7,3,3,120,120,51960909/250,84663579/250,3270267/25,51960909/250,84663579/250,3270267/25,True,0
7,3,4,120,120,28110851769/2500,45802996239/2500,1769214447/250,28110851769/2500,45802996239/2500,1769214447/250,True,0
7,4,1,330,330,1001/10,1841/10,84,1001/10,1841/10,84,True,0
7,4,2,330,330,499499/100,918659/100,20958/5,499499/100,918659/100,20958/5,True,0
7,4,3,330,330,70429359/250,129530919/250,5910156/25,70429359/250,129530919/250,5910156/25,True,0
7,4,4,330,330,44440925529/2500,81734009889/2500,1864654218/125,44440925529/2500,81734009889/2500,1864654218/125,True,0
8,1,1,9,9,122,150,28,122,150,28,True,0
8,1,2,9,9,19764/5,4860,4536/5,19764/5,4860,4536/5,True,0
8,1,3,9,9,3567402/25,175446,818748/25,3567402/25,175446,818748/25,True,0
8,1,4,9,9,28539216/5,7017840,6549984/5,28539216/5,7017840,6549984/5,True,0
8,2,1,45,45,122,178,56,122,178,56,True,0
8,2,2,45,45,24644/5,35956/5,11312/5,24644/5,35956/5,11312/5,True,0
8,2,3,45,45,5557222/25,8108078/25,2550856/25,5557222/25,8108078/25,2550856/25,True,0
8,2,4,45,45,11114444,16216156,5101712,11114444,16216156,5101712,True,0
8,3,1,165,165,122,206,84,122,206,84,True,0
8,3,2,165,165,29524/5,49852/5,20328/5,29524/5,49852/5,20328/5,True,0
8,3,3,165,165,7986242/25,13484966/25,5498724/25,7986242/25,13484966/25,5498724/25,True,0
8,3,4,165,165,95834904/5,161819592/5,65984688/5,95834904/5,161819592/5,65984688/5,True,0
8,4,1,495,495,122,234,112,122,234,112,True,0
8,4,2,495,495,34404/5,65988/5,31584/5,34404/5,65988/5,31584/5,True,0
8,4,3,495,495,10854462/25,20819214/25,9964752/25,10854462/25,20819214/25,9964752/25,True,0
8,4,4,495,495,151962468/5,291468996/5,139506528/5,151962468/5,291468996/5,139506528/5,True,0
